Time Stamp,Time Zone,Fuel Category,Gen MW
07/12/2024 04:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:30:00,EDT,Other Renewables,248.0
07/12/2024 04:30:00,EDT,Wind,7.0
07/12/2024 04:30:00,EDT,Hydro,2492.0
07/12/2024 04:35:00,EDT,Dual Fuel,4546.0
07/12/2024 04:35:00,EDT,Natural Gas,4663.0
07/12/2024 04:35:00,EDT,Nuclear,3249.0
07/12/2024 04:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:35:00,EDT,Other Renewables,251.0
07/12/2024 04:35:00,EDT,Wind,7.0
07/12/2024 04:35:00,EDT,Hydro,2503.0
07/12/2024 04:40:00,EDT,Dual Fuel,4556.0
07/12/2024 04:40:00,EDT,Natural Gas,4666.0
07/12/2024 04:40:00,EDT,Nuclear,3250.0
07/12/2024 04:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:40:00,EDT,Other Renewables,254.0
07/12/2024 04:40:00,EDT,Wind,7.0
07/12/2024 04:40:00,EDT,Hydro,2504.0
07/12/2024 04:45:00,EDT,Dual Fuel,4565.0
07/12/2024 04:45:00,EDT,Natural Gas,4685.0
07/12/2024 04:45:00,EDT,Nuclear,3249.0
07/12/2024 04:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:45:00,EDT,Other Renewables,253.0
07/12/2024 04:45:00,EDT,Wind,7.0
07/12/2024 04:45:00,EDT,Hydro,2501.0
07/12/2024 04:50:00,EDT,Dual Fuel,4565.0
07/12/2024 04:50:00,EDT,Natural Gas,4708.0
07/12/2024 04:50:00,EDT,Nuclear,3249.0
07/12/2024 04:50:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:50:00,EDT,Other Renewables,251.0
07/12/2024 04:50:00,EDT,Wind,7.0
07/12/2024 04:50:00,EDT,Hydro,2512.0
07/12/2024 04:55:00,EDT,Dual Fuel,4551.0
07/12/2024 04:55:00,EDT,Natural Gas,4718.0
07/12/2024 04:55:00,EDT,Nuclear,3249.0
07/12/2024 04:55:00,EDT,Other Fossil Fuels,8.0
07/12/2024 04:55:00,EDT,Other Renewables,251.0
07/12/2024 04:55:00,EDT,Wind,7.0
07/12/2024 04:55:00,EDT,Hydro,2515.0
07/12/2024 05:00:00,EDT,Dual Fuel,4563.0
07/12/2024 05:00:00,EDT,Natural Gas,4738.0
07/12/2024 05:00:00,EDT,Nuclear,3248.0
07/12/2024 05:00:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:00:00,EDT,Other Renewables,253.0
07/12/2024 05:00:00,EDT,Wind,6.0
07/12/2024 05:00:00,EDT,Hydro,2483.0
07/12/2024 05:05:00,EDT,Dual Fuel,4613.0
07/12/2024 05:05:00,EDT,Natural Gas,4745.0
07/12/2024 05:05:00,EDT,Nuclear,3250.0
07/12/2024 05:05:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:05:00,EDT,Other Renewables,252.0
07/12/2024 05:05:00,EDT,Wind,6.0
07/12/2024 05:05:00,EDT,Hydro,2410.0
07/12/2024 05:10:00,EDT,Dual Fuel,4578.0
07/12/2024 05:10:00,EDT,Natural Gas,4761.0
07/12/2024 05:10:00,EDT,Nuclear,3250.0
07/12/2024 05:10:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:10:00,EDT,Other Renewables,253.0
07/12/2024 05:10:00,EDT,Wind,7.0
07/12/2024 05:10:00,EDT,Hydro,2429.0
07/12/2024 05:15:00,EDT,Dual Fuel,4573.0
07/12/2024 05:15:00,EDT,Natural Gas,4776.0
07/12/2024 05:15:00,EDT,Nuclear,3250.0
07/12/2024 05:15:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:15:00,EDT,Other Renewables,254.0
07/12/2024 05:15:00,EDT,Wind,8.0
07/12/2024 05:15:00,EDT,Hydro,2476.0
07/12/2024 05:20:00,EDT,Dual Fuel,4594.0
07/12/2024 05:20:00,EDT,Natural Gas,4773.0
07/12/2024 05:20:00,EDT,Nuclear,3251.0
07/12/2024 05:20:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:20:00,EDT,Other Renewables,253.0
07/12/2024 05:20:00,EDT,Wind,7.0
07/12/2024 05:20:00,EDT,Hydro,2482.0
07/12/2024 05:25:00,EDT,Dual Fuel,4594.0
07/12/2024 05:25:00,EDT,Natural Gas,4775.0
07/12/2024 05:25:00,EDT,Nuclear,3251.0
07/12/2024 05:25:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:25:00,EDT,Other Renewables,254.0
07/12/2024 05:25:00,EDT,Wind,6.0
07/12/2024 05:25:00,EDT,Hydro,2482.0
07/12/2024 05:30:00,EDT,Dual Fuel,4609.0
07/12/2024 05:30:00,EDT,Natural Gas,4778.0
07/12/2024 05:30:00,EDT,Nuclear,3251.0
07/12/2024 05:30:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:30:00,EDT,Other Renewables,252.0
07/12/2024 05:30:00,EDT,Wind,6.0
07/12/2024 05:30:00,EDT,Hydro,2479.0
07/12/2024 05:35:00,EDT,Dual Fuel,4648.0
07/12/2024 05:35:00,EDT,Natural Gas,4779.0
07/12/2024 05:35:00,EDT,Nuclear,3251.0
07/12/2024 05:35:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:35:00,EDT,Other Renewables,252.0
07/12/2024 05:35:00,EDT,Wind,7.0
07/12/2024 05:35:00,EDT,Hydro,2498.0
07/12/2024 05:40:00,EDT,Dual Fuel,4686.0
07/12/2024 05:40:00,EDT,Natural Gas,4776.0
07/12/2024 05:40:00,EDT,Nuclear,3252.0
07/12/2024 05:40:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:40:00,EDT,Other Renewables,254.0
07/12/2024 05:40:00,EDT,Wind,19.0
07/12/2024 05:40:00,EDT,Hydro,2463.0
07/12/2024 05:45:00,EDT,Dual Fuel,4718.0
07/12/2024 05:45:00,EDT,Natural Gas,4789.0
07/12/2024 05:45:00,EDT,Nuclear,3252.0
07/12/2024 05:45:00,EDT,Other Fossil Fuels,8.0
07/12/2024 05:45:00,EDT,Other Renewables,258.0
07/12/2024 05:45:00,EDT,Wind,19.0
07/12/2024 05:45:00,EDT,Hydro,2486.0
07/12/2024 05:50:00,EDT,Dual Fuel,4733.0
07/12/2024 05:50:00,EDT,Natural Gas,4807.0
07/12/2024 05:50:00,EDT,Nuclear,3253.0
07/12/2024 05:50:00,EDT,Other Fossil Fuels,8.0
