"Time Stamp","Time Zone","Name","PTID","Load"
"07/12/2024 01:35:00","EDT","GENESE",61753,1064.4636
"07/12/2024 01:35:00","EDT","HUD VL",61758,1202.4562
"07/12/2024 01:35:00","EDT","LONGIL",61762,2695.7212
"07/12/2024 01:35:00","EDT","MHK VL",61756,810.2437
"07/12/2024 01:35:00","EDT","MILLWD",61759,331.4339
"07/12/2024 01:35:00","EDT","N.Y.C.",61761,6787.2686
"07/12/2024 01:35:00","EDT","NORTH",61755,639.8096
"07/12/2024 01:35:00","EDT","WEST",61752,1697.074
"07/12/2024 01:40:00","EDT","CAPITL",61757,1490.323
"07/12/2024 01:40:00","EDT","CENTRL",61754,1645.4685
"07/12/2024 01:40:00","EDT","DUNWOD",61760,780.9525
"07/12/2024 01:40:00","EDT","GENESE",61753,1072.5676
"07/12/2024 01:40:00","EDT","HUD VL",61758,1219.2666
"07/12/2024 01:40:00","EDT","LONGIL",61762,2699.734
"07/12/2024 01:40:00","EDT","MHK VL",61756,796.3977
"07/12/2024 01:40:00","EDT","MILLWD",61759,331.9788
"07/12/2024 01:40:00","EDT","N.Y.C.",61761,6799.6914
"07/12/2024 01:40:00","EDT","NORTH",61755,638.3135
"07/12/2024 01:40:00","EDT","WEST",61752,1708.5704
"07/12/2024 01:45:00","EDT","CAPITL",61757,1485.706
"07/12/2024 01:45:00","EDT","CENTRL",61754,1664.7139
"07/12/2024 01:45:00","EDT","DUNWOD",61760,775.3684
"07/12/2024 01:45:00","EDT","GENESE",61753,1064.8558
"07/12/2024 01:45:00","EDT","HUD VL",61758,1213.7709
"07/12/2024 01:45:00","EDT","LONGIL",61762,2675.455
"07/12/2024 01:45:00","EDT","MHK VL",61756,809.5309
"07/12/2024 01:45:00","EDT","MILLWD",61759,337.0495
"07/12/2024 01:45:00","EDT","N.Y.C.",61761,6774.2437
"07/12/2024 01:45:00","EDT","NORTH",61755,643.504
"07/12/2024 01:45:00","EDT","WEST",61752,1712.2402
"07/12/2024 01:50:00","EDT","CAPITL",61757,1492.1646
"07/12/2024 01:50:00","EDT","CENTRL",61754,1649.7273
"07/12/2024 01:50:00","EDT","DUNWOD",61760,767.2542
"07/12/2024 01:50:00","EDT","GENESE",61753,1057.6448
"07/12/2024 01:50:00","EDT","HUD VL",61758,1195.0974
